name,squad,position,club,tm_id,market_value_eur
Mark Flekken,Netherlands,GK,Bayer Leverkusen,125714,
Crysencio Summerville,Netherlands,FW,West Ham United,474701,
Jorrel Hato,Netherlands,DF,Chelsea,904802,
Quinten Timber,Netherlands,MF,Marseille,420213,
Jacob Widell Zetterström,Sweden,GK,Derby County,549440,
Gustaf Lagerbielke,Sweden,DF,Braga,485395,
Victor Lindelöf,Sweden,DF,Aston Villa,184573,
Isak Hien,Sweden,DF,Atalanta,503075,
Gabriel Gudmundsson,Sweden,DF,Leeds United,362108,
Herman Johansson,Sweden,DF,FC Dallas,1388709,
Lucas Bergvall,Sweden,MF,Tottenham Hotspur,866246,
Alexander Isak,Sweden,FW,Liverpool,349066,
Anthony Elanga,Sweden,FW,Newcastle United,583189,
Ken Sema,Sweden,MF,Pafos,252345,
Hjalmar Ekdal,Sweden,DF,Burnley,392179,
Carl Starfelt,Sweden,DF,Celta Vigo,258987,
Jesper Karlström,Sweden,MF,Udinese,222855,
Viktor Gyökeres,Sweden,FW,Arsenal,325443,
Yasin Ayari,Sweden,MF,Brighton & Hove Albion,667287,
Mattias Svanberg,Sweden,MF,VfL Wolfsburg,342405,
Alexander Bernhardsson,Sweden,DF,Holstein Kiel,633454,
Besfort Zeneli,Sweden,MF,Union Saint-Gilloise,715653,
Kristoffer Nordfeldt,Sweden,GK,AIK,75890,
Elliot Stroud,Sweden,DF,Mjällby AIF,687622,
Taha Ali,Sweden,FW,Malmö FF,731771,
Mouhib Chamakh,Tunisia,GK,Club Africain,584250,
Ali Abdi,Tunisia,DF,Nice,1400621,
Montassar Talbi,Tunisia,DF,Lorient,496706,
Omar Rekik,Tunisia,DF,Maribor,578292,
Adem Arous,Tunisia,DF,Kasımpaşa,1134080,
Dylan Bronn,Tunisia,DF,Servette,450417,
Elias Achouri,Tunisia,FW,Copenhagen,645589,
Elias Saad,Tunisia,FW,Hannover 96,526466,
Hazem Mastouri,Tunisia,FW,Dynamo Makhachkala,953150,
Hannibal Mejbri,Tunisia,MF,Burnley,607224,
Ismaël Gharbi,Tunisia,MF,FC Augsburg,810096,
Mortadha Ben Ouanes,Tunisia,DF,Kasımpaşa,230921,
Rani Khedira,Tunisia,MF,Union Berlin,124410,
Khalil Ayari,Tunisia,MF,Paris Saint-Germain,1198342,
Hadj Mahmoud,Tunisia,MF,Lugano,673513,
Aymen Dahmen,Tunisia,GK,CS Sfaxien,569433,
Ellyes Skhiri,Tunisia,MF,Eintracht Frankfurt,290587,
Rayan Elloumi,Tunisia,FW,Vancouver Whitecaps FC,1273985,
Firas Chaouat,Tunisia,FW,Club Africain,402087,
Yan Valery,Tunisia,DF,Young Boys,406008,
Mohamed Amine Ben Hamida,Tunisia,DF,Espérance de Tunis,454495,
Sabri Ben Hessen,Tunisia,GK,Étoile du Sahel,295381,
Moutaz Neffati,Tunisia,DF,IFK Norrköping,1034598,
Raed Chikhaoui,Tunisia,DF,US Monastir,1075790,
Anis Ben Slimane,Tunisia,MF,Norwich City,546712,
Sebastian Tounekti,Tunisia,MF,Celtic,539677,
Thibaut Courtois,Belgium,GK,Real Madrid,108390,
Zeno Debast,Belgium,DF,Sporting CP,548193,
Arthur Theate,Belgium,DF,Eintracht Frankfurt,368891,
Brandon Mechele,Belgium,DF,Club Brugge,236168,
Maxim De Cuyper,Belgium,DF,Brighton & Hove Albion,429915,
Axel Witsel,Belgium,MF,Girona,35047,
Kevin De Bruyne,Belgium,MF,Napoli,88755,
Youri Tielemans,Belgium,MF,Aston Villa,249565,
Romelu Lukaku,Belgium,FW,Napoli,96341,
Leandro Trossard,Belgium,FW,Arsenal,144028,
Jérémy Doku,Belgium,FW,Manchester City,486049,
Senne Lammens,Belgium,GK,Manchester United,503883,
Mike Penders,Belgium,GK,Strasbourg,834397,
Dodi Lukébakio,Belgium,FW,Benfica,303259,
Thomas Meunier,Belgium,DF,Lille,100986,
Koni De Winter,Belgium,DF,Milan,490384,
Charles De Ketelaere,Belgium,FW,Atalanta,435772,
Joaquin Seys,Belgium,DF,Club Brugge,981196,
Diego Moreira,Belgium,MF,Strasbourg,1034907,
Hans Vanaken,Belgium,MF,Club Brugge,137576,
Timothy Castagne,Belgium,DF,Fulham,262226,
Alexis Saelemaekers,Belgium,MF,Milan,381950,
Nicolas Raskin,Belgium,MF,Rangers,422763,
Amadou Onana,Belgium,MF,Aston Villa,485706,
Nathan Ngoy,Belgium,DF,Lille,548254,
Matias Fernandez-Pardo,Belgium,FW,Lille,724129,
Mohamed El Shenawy,Egypt,GK,Al Ahly,1258133,
Mohamed Hany,Egypt,DF,Al Ahly,1357729,
Hossam Abdelmaguid,Egypt,DF,Zamalek,737524,
Ramy Rabia,Egypt,DF,Al Ain,172623,
Mohamed Abdelmonem,Egypt,DF,Nice,1497635,
Trézéguet,Egypt,FW,Al Ahly,1547788,
Emam Ashour,Egypt,MF,Al Ahly,604008,
Hamza Abdelkarim,Egypt,FW,Barcelona B,1292926,
Mostafa Ziko,Egypt,MF,Pyramids,896616,
Haissem Hassan,Egypt,FW,Oviedo,620164,
Ahmed Fatouh,Egypt,DF,Zamalek,465966,
Hamdy Fathy,Egypt,MF,Al-Wakrah,340303,
Karim Hafez,Egypt,DF,Pyramids,333004,
Mohanad Lasheen,Egypt,MF,Pyramids,479682,
Ibrahim Adel,Egypt,FW,Nordsjælland,1262950,
Mahmoud Saber,Egypt,MF,ZED,589471,
Omar Marmoush,Egypt,FW,Manchester City,445939,
Tarek Alaa,Egypt,DF,ZED,1087789,
Zizo,Egypt,FW,Al Ahly,320722,
Mohamed Alaa,Egypt,GK,El Gouna,1309196,
Alireza Beiranvand,Iran,GK,Tractor,229081,
Saleh Hardani,Iran,DF,Esteghlal,697155,
Ehsan Hajsafi,Iran,DF,Sepahan,77547,
Milad Mohammadi,Iran,DF,Persepolis,622161,
Alireza Jahanbakhsh,Iran,MF,Dender,213268,
Mehdi Taremi,Iran,FW,Olympiacos,307058,
Mehdi Ghayedi,Iran,FW,Al Nasr,478192,
Ali Alipour,Iran,FW,Persepolis,620632,
Payam Niazmand,Iran,GK,Persepolis,343044,
Hossein Kanaanizadegan,Iran,DF,Persepolis,249400,
Saman Ghoddos,Iran,MF,Kalba,204294,
Rouzbeh Cheshmi,Iran,MF,Esteghlal,273879,
Aria Yousefi,Iran,DF,Sepahan,932724,
Amirhossein Hosseinzadeh,Iran,FW,Tractor,1226868,
Ramin Rezaeian,Iran,DF,Foolad,188312,
Dennis Eckert,Iran,FW,Standard Liège,249303,
Danial Eiri,Iran,DF,Malavan,1080301,
Amirmohammad Razzaghinia,Iran,MF,Esteghlal,1051591,
Max Crocombe,New Zealand,GK,Millwall,207843,
Tim Payne,New Zealand,DF,Wellington Phoenix,149901,
Francis de Vries,New Zealand,DF,Auckland FC,207061,
Tyler Bindon,New Zealand,DF,Sheffield United,1007720,
Michael Boxall,New Zealand,DF,Minnesota United FC,81723,
Matthew Garbett,New Zealand,MF,Peterborough United,617019,
Marko Stamenić,New Zealand,MF,Swansea City,617018,
Sarpreet Singh,New Zealand,MF,Wellington Phoenix,350357,
Elijah Just,New Zealand,MF,Motherwell,485672,
Alex Paulsen,New Zealand,GK,Lechia Gdańsk,617009,
Liberato Cacace,New Zealand,DF,Wrexham,469211,
Alex Rufer,New Zealand,MF,Wellington Phoenix,256019,
Nando Pijnaker,New Zealand,DF,Auckland FC,455425,
Finn Surman,New Zealand,DF,Portland Timbers,724809,
Kosta Barbarouses,New Zealand,FW,Western Sydney Wanderers,50200,
Ben Waine,New Zealand,FW,Port Vale,539502,
Ben Old,New Zealand,MF,Saint-Étienne,617021,
Callum McCowatt,New Zealand,MF,Silkeborg,400797,
Jesse Randall,New Zealand,FW,Auckland FC,677509,
Michael Woud,New Zealand,GK,Auckland FC,350347,
Callan Elliot,New Zealand,DF,Auckland FC,482204,
Lachlan Bayliss,New Zealand,MF,Newcastle Jets,1109358,
Tommy Smith,New Zealand,DF,Braintree Town,664555,
Vozinha,Cape Verde,GK,Chaves,242277,
Stopira,Cape Verde,DF,Torreense,80486,
Diney,Cape Verde,DF,Al Bataeh,349570,
Logan Costa,Cape Verde,DF,Villarreal,484988,
Jovane Cabral,Cape Verde,MF,Estrela Amadora,448466,
Gilson Benchimol,Cape Verde,FW,Akron Tolyatti,820252,
Jamiro Monteiro,Cape Verde,MF,PEC Zwolle,272930,
Garry Rodrigues,Cape Verde,MF,Apollon Limassol,170895,
Márcio Rosa,Cape Verde,GK,Montana,398048,
Sidny Lopes Cabral,Cape Verde,DF,Benfica,611855,
Deroy Duarte,Cape Verde,MF,Ludogorets Razgrad,432852,
Laros Duarte,Cape Verde,MF,Puskás Akadémia,258513,
Yannick Semedo,Cape Verde,MF,Farense,620307,
Willy Semedo,Cape Verde,MF,Omonia,531450,
Telmo Arcanjo,Cape Verde,MF,Vitória de Guimarães,791528,
Dailon Livramento,Cape Verde,FW,Casa Pia,676411,
Ryan Mendes,Cape Verde,FW,Iğdır,111627,
Nuno da Costa,Cape Verde,MF,İstanbul Başakşehir,306166,
Steven Moreira,Cape Verde,DF,Columbus Crew,203517,
CJ dos Santos,Cape Verde,GK,San Diego FC,532096,
Wagner Pina,Cape Verde,DF,Trabzonspor,1072017,
Kelvin Pires,Cape Verde,DF,SJK,662119,
Hélio Varela,Cape Verde,MF,Maccabi Tel Aviv,1461440,
Nawaf Al-Aqidi,Saudi Arabia,GK,Al-Nassr,886183,
Ali Majrashi,Saudi Arabia,DF,Al-Ahli,672391,
Ali Lajami,Saudi Arabia,DF,Al-Hilal,264909,
Abdulelah Al-Amri,Saudi Arabia,DF,Al-Nassr,509894,
Hassan Al-Tambakti,Saudi Arabia,DF,Al-Hilal,509897,
Nasser Al-Dawsari,Saudi Arabia,MF,Al-Hilal,509911,
Musab Al-Juwayr,Saudi Arabia,MF,Al-Qadsiah,901181,
Ayman Yahya,Saudi Arabia,FW,Al-Nassr,735815,
Firas Al-Buraikan,Saudi Arabia,FW,Al-Ahli,631922,
Salem Al-Dawsari,Saudi Arabia,FW,Al-Hilal,195332,
Saud Abdulhamid,Saudi Arabia,DF,Lens,631927,
Nawaf Boushal,Saudi Arabia,DF,Al-Nassr,821377,
Hassan Kadesh,Saudi Arabia,DF,Al-Ittihad,260859,
Abdullah Al-Khaibari,Saudi Arabia,MF,Al-Nassr,437903,
Ziyad Al-Johani,Saudi Arabia,MF,Al-Ahli,901079,
Khalid Al-Ghannam,Saudi Arabia,FW,Al-Ettifaq,631923,
Abdullah Al-Hamdan,Saudi Arabia,FW,Al-Nassr,68626,
Sultan Mandash,Saudi Arabia,FW,Al-Hilal,210349,
Mohammed Al-Owais,Saudi Arabia,GK,Al-Ula,262845,
Ahmed Al-Kassar,Saudi Arabia,GK,Al-Qadsiah,177956,
Mohamed Kanno,Saudi Arabia,MF,Al-Hilal,308120,
Moteb Al-Harbi,Saudi Arabia,DF,Al-Hilal,869509,
Jehad Thakri,Saudi Arabia,DF,Al-Qadsiah,901334,
Mohammed Abu Al-Shamat,Saudi Arabia,DF,Al-Qadsiah,1181852,
David Raya,Spain,GK,Arsenal,262749,
Marc Pubill,Spain,DF,Atlético Madrid,844637,
Álex Grimaldo,Spain,DF,Bayer Leverkusen,193082,
Marcos Llorente,Spain,DF,Atlético Madrid,282411,
Mikel Merino,Spain,MF,Arsenal,338424,
Ferran Torres,Spain,FW,Barcelona,398184,
Fabián Ruiz,Spain,MF,Paris Saint-Germain,350219,
Gavi,Spain,MF,Barcelona,646740,
Dani Olmo,Spain,FW,Barcelona,293385,
Yéremy Pino,Spain,FW,Crystal Palace,568157,
Pedro Porro,Spain,DF,Tottenham Hotspur,553875,
Joan Garcia,Spain,GK,Barcelona,561613,
Aymeric Laporte,Spain,DF,Athletic Bilbao,176553,
Álex Baena,Spain,MF,Atlético Madrid,548111,
Rodri,Spain,MF,Manchester City,357565,
Martín Zubimendi,Spain,MF,Arsenal,423440,
Lamine Yamal,Spain,FW,Barcelona,937958,
Pedri,Spain,MF,Barcelona,683840,
Mikel Oyarzabal,Spain,FW,Real Sociedad,351478,
Pau Cubarsí,Spain,DF,Barcelona,962110,
Unai Simón,Spain,GK,Athletic Bilbao,262396,
Marc Cucurella,Spain,DF,Chelsea,284857,
Borja Iglesias,Spain,FW,Celta Vigo,278359,
Sergio Rochet,Uruguay,GK,Internacional,264014,
José María Giménez,Uruguay,DF,Atlético Madrid,250845,
Sebastián Cáceres,Uruguay,DF,América,821903,
Ronald Araújo,Uruguay,DF,Barcelona,480267,
Manuel Ugarte,Uruguay,MF,Manchester United,476701,
Rodrigo Bentancur,Uruguay,MF,Tottenham Hotspur,354362,
Nicolás de la Cruz,Uruguay,MF,Flamengo,397458,
Federico Valverde,Uruguay,MF,Real Madrid,369081,
Darwin Núñez,Uruguay,FW,Al-Hilal,546543,
Giorgian de Arrascaeta,Uruguay,MF,Flamengo,248410,
Facundo Pellistri,Uruguay,FW,Panathinaikos,676318,
Santiago Mele,Uruguay,GK,Monterrey,320739,
Guillermo Varela,Uruguay,DF,Flamengo,188862,
Agustín Canobbio,Uruguay,MF,Fluminense,457533,
Mathías Olivera,Uruguay,DF,Napoli,376514,
Matías Viña,Uruguay,DF,River Plate,439072,
Rodrigo Aguirre,Uruguay,FW,UANL,1503445,
Maximiliano Araújo,Uruguay,MF,Sporting CP,572675,
Federico Viñas,Uruguay,FW,Oviedo,578419,
Joaquín Piquerez,Uruguay,MF,Palmeiras,496268,
Fernando Muslera,Uruguay,GK,Estudiantes,58088,
Juan Manuel Sanabria,Uruguay,MF,Real Salt Lake,446106,
Rodrigo Zalazar,Uruguay,MF,Braga,965039,
Malo Gusto,France,DF,Chelsea,620322,
Lucas Digne,France,DF,Aston Villa,126664,
Dayot Upamecano,France,DF,Bayern Munich,344695,
Jules Koundé,France,DF,Barcelona,411975,
Manu Koné,France,MF,Roma,624690,
Aurélien Tchouaméni,France,MF,Real Madrid,413112,
Marcus Thuram,France,FW,Inter Milan,318528,
Kylian Mbappé,France,FW,Real Madrid,342229,
Michael Olise,France,FW,Bayern Munich,566723,
Bradley Barcola,France,FW,Paris Saint-Germain,708265,
N'Golo Kanté,France,MF,Fenerbahçe,225083,
Adrien Rabiot,France,MF,Milan,182913,
Mike Maignan,France,GK,Milan,182906,
William Saliba,France,DF,Arsenal,495666,
Warren Zaïre-Emery,France,MF,Paris Saint-Germain,810092,
Théo Hernandez,France,DF,Al-Hilal,339808,
Désiré Doué,France,FW,Paris Saint-Germain,914562,
Lucas Hernandez,France,DF,Paris Saint-Germain,1504911,
Jean-Philippe Mateta,France,FW,Crystal Palace,420002,
Robin Risser,France,GK,Lens,743515,
Rayan Cherki,France,MF,Manchester City,607223,
Maghnes Akliouche,France,MF,Monaco,745200,
Maxence Lacroix,France,DF,Crystal Palace,434224,
Fahad Talib,Iraq,GK,Al-Talaba,377268,
Rebin Sulaka,Iraq,DF,Port,217073,
Hussein Ali,Iraq,DF,Pogoń Szczecin,1556926,
Zaid Tahseen,Iraq,DF,Pakhtakor,931147,
Akam Hashim,Iraq,DF,Al-Zawraa,933541,
Manaf Younis,Iraq,DF,Al-Shorta,945266,
Youssef Amyn,Iraq,MF,AEK Larnaca,684307,
Ibrahim Bayesh,Iraq,MF,Al Dhafra,560957,
Ali Al-Hamadi,Iraq,FW,Luton Town,610581,
Mohanad Ali,Iraq,FW,Dibba,589646,
Jalal Hassan,Iraq,GK,Al-Zawraa,959177,
Ali Yousif,Iraq,FW,Al-Talaba,576265,
Zidane Iqbal,Iraq,MF,Utrecht,686845,
Ahmed Maknzi,Iraq,DF,Al-Karma,881506,
Amir Al-Ammari,Iraq,MF,Cracovia,303766,
Ali Jasim,Iraq,FW,Al-Najma,947891,
Aymen Hussein,Iraq,FW,Al-Karma,401054,
Kevin Yakob,Iraq,MF,AGF,413268,
Aimar Sher,Iraq,MF,Sarpsborg 08,579294,
Marko Farji,Iraq,FW,Venezia,663153,
Ahmed Basil,Iraq,GK,Al-Shorta,560952,
Merchas Doski,Iraq,DF,Viktoria Plzeň,530527,
Zaid Ismail,Iraq,MF,Al-Talaba,1132850,
Mustafa Saadoon,Iraq,DF,Al-Shorta,952341,
Ørjan Nyland,Norway,GK,Sevilla,73517,
Morten Thorsby,Norway,MF,Cremonese,226524,
Kristoffer Ajer,Norway,DF,Brentford,328658,
Leo Østigård,Norway,DF,Genoa,367284,
David Møller Wolfe,Norway,DF,Wolverhampton Wanderers,661427,
Patrick Berg,Norway,MF,Bodø/Glimt,308439,
Alexander Sørloth,Norway,FW,Atlético Madrid,238407,
Sander Berge,Norway,MF,Fulham,333014,
Erling Haaland,Norway,FW,Manchester City,418560,
Martin Ødegaard,Norway,MF,Arsenal,316264,
Jørgen Strand Larsen,Norway,FW,Crystal Palace,429983,
Sander Tangvik,Norway,GK,Hamburger SV,549378,
Egil Selvik,Norway,GK,Watford,380744,
Fredrik Aursnes,Norway,MF,Benfica,223367,
Fredrik André Bjørkan,Norway,DF,Bodø/Glimt,364938,
Marcus Holmgren Pedersen,Norway,DF,Torino,583404,
Torbjørn Heggem,Norway,DF,Bologna,464469,
Kristian Thorstvedt,Norway,MF,Sassuolo,564785,
Thelo Aasgaard,Norway,MF,Rangers,647384,
Antonio Nusa,Norway,FW,RB Leipzig,894914,
Andreas Schjelderup,Norway,MF,Benfica,670103,
Oscar Bobb,Norway,MF,Fulham,661207,
Jens Petter Hauge,Norway,MF,Bodø/Glimt,422355,
Sondre Langås,Norway,DF,Derby County,737837,
Henrik Falchener,Norway,DF,Viking,743088,
Julian Ryerson,Norway,FW,Borussia Dortmund,370789,
Yehvann Diouf,Senegal,GK,Nice,448632,
Mamadou Sarr,Senegal,DF,Chelsea,1516388,
Kalidou Koulibaly,Senegal,DF,Al-Hilal,93128,
Idrissa Gueye,Senegal,MF,Everton,1178488,
Pathé Ciss,Senegal,MF,Rayo Vallecano,525578,
Assane Diao,Senegal,FW,Como,1061282,
Bamba Dieng,Senegal,FW,Lorient,822458,
Sadio Mané,Senegal,FW,Al-Nassr,200512,
Nicolas Jackson,Senegal,FW,Bayern Munich,776890,
Iliman Ndiaye,Senegal,FW,Everton,623570,
Ismail Jakobs,Senegal,DF,Galatasaray,375137,
Krépin Diatta,Senegal,DF,Monaco,490426,
Pape Matar Sarr,Senegal,MF,Tottenham Hotspur,568693,
Ismaïla Sarr,Senegal,FW,Crystal Palace,410225,
Moussa Niakhaté,Senegal,DF,Lyon,291200,
Ibrahim Mbaye,Senegal,FW,Paris Saint-Germain,1185888,
Habib Diarra,Senegal,MF,Sunderland,876631,
Bara Sapoko Ndiaye,Senegal,MF,Bayern Munich,1497653,
Mory Diaw,Senegal,GK,Le Havre,164904,
El Hadji Malick Diouf,Senegal,DF,West Ham United,1111589,
Pape Gueye,Senegal,MF,Villarreal,1497802,
Melvin Mastil,Algeria,GK,Stade Nyonnais,534398,
Aïssa Mandi,Algeria,DF,Lille,80293,
Achref Abada,Algeria,DF,USM Alger,949929,
Mohamed Amine Tougai,Algeria,DF,Espérance de Tunis,592396,
Zineddine Belaïd,Algeria,DF,JS Kabylie,625142,
Ramiz Zerrouki,Algeria,MF,Twente,416660,
Riyad Mahrez,Algeria,FW,Al-Ahli,171424,
Houssem Aouar,Algeria,MF,Al-Ittihad,395693,
Amine Gouiri,Algeria,FW,Marseille,418659,
Farès Chaïbi,Algeria,MF,Eintracht Frankfurt,855015,
Anis Hadj Moussa,Algeria,FW,Feyenoord,917911,
Nadhir Benbouali,Algeria,FW,Győri ETO,840254,
Jaouen Hadjam,Algeria,DF,Young Boys,750903,
Hicham Boudaoui,Algeria,MF,Nice,560593,
Rayan Aït-Nouri,Algeria,DF,Manchester City,578391,
Oussama Benbot,Algeria,GK,USM Alger,437982,
Rafik Belghali,Algeria,DF,Hellas Verona,864306,
Mohamed Amoura,Algeria,FW,VfL Wolfsburg,746910,
Nabil Bentaleb,Algeria,MF,Lille,245537,
Adil Boulbina,Algeria,FW,Al-Duhail,748443,
Ramy Bensebaini,Algeria,DF,Borussia Dortmund,284732,
Ibrahim Maza,Algeria,MF,Bayer Leverkusen,905011,
Luca Zidane,Algeria,GK,Granada,283489,
Farès Ghedjemis,Algeria,FW,Frosinone,888738,
Samir Chergui,Algeria,DF,Paris FC,668167,
Juan Musso,Argentina,GK,Atlético Madrid,242359,
Marcos Senesi,Argentina,DF,Bournemouth,469781,
Nicolás Tagliafico,Argentina,DF,Lyon,131225,
Gonzalo Montiel,Argentina,DF,River Plate,402733,
Lisandro Martínez,Argentina,DF,Manchester United,480762,
Rodrigo De Paul,Argentina,MF,Inter Miami CF,255901,
Valentín Barco,Argentina,MF,Strasbourg,849410,
Julián Alvarez,Argentina,FW,Atlético Madrid,576024,
Lionel Messi,Argentina,FW,Inter Miami CF,28003,
Giovani Lo Celso,Argentina,MF,Real Betis,348795,
Gerónimo Rulli,Argentina,GK,Marseille,229604,
Exequiel Palacios,Argentina,MF,Bayer Leverkusen,401578,
Nicolás González,Argentina,MF,Atlético Madrid,819997,
Thiago Almada,Argentina,FW,Atlético Madrid,576028,
Giuliano Simeone,Argentina,FW,Atlético Madrid,742201,
Nico Paz,Argentina,FW,Como,948294,
Nicolás Otamendi,Argentina,DF,Benfica,54781,
Alexis Mac Allister,Argentina,MF,Liverpool,534033,
José Manuel López,Argentina,FW,Palmeiras,844797,
Lautaro Martínez,Argentina,FW,Inter Milan,406625,
Enzo Fernández,Argentina,MF,Chelsea,874331,
Facundo Medina,Argentina,DF,Marseille,474800,
Nahuel Molina,Argentina,DF,Atlético Madrid,424042,
Alexander Schlager,Austria,GK,Red Bull Salzburg,186374,
David Affengruber,Austria,DF,Elche,122890,
Kevin Danso,Austria,DF,Tottenham Hotspur,263236,
Xaver Schlager,Austria,MF,RB Leipzig,223979,
Stefan Posch,Austria,DF,Mainz 05,223974,
Nicolas Seiwald,Austria,MF,RB Leipzig,404950,
Marko Arnautović,Austria,FW,Red Star Belgrade,41384,
David Alaba,Austria,DF,Real Madrid,59016,
Marcel Sabitzer,Austria,MF,Borussia Dortmund,106987,
Florian Grillitsch,Austria,MF,Braga,195736,
Florian Wiegele,Austria,GK,Viktoria Plzeň,393999,
Patrick Pentz,Austria,GK,Brøndby,223972,
Saša Kalajdžić,Austria,FW,LASK,369567,
Philipp Lienhart,Austria,DF,SC Freiburg,225657,
Phillipp Mwene,Austria,DF,Mainz 05,127573,
Carney Chukwuemeka,Austria,MF,Borussia Dortmund,659459,
Romano Schmid,Austria,MF,Werder Bremen,346853,
Dejan Ljubičić,Austria,MF,Schalke 04,287188,
Konrad Laimer,Austria,MF,Bayern Munich,223967,
Alexander Prass,Austria,MF,TSG Hoffenheim,434116,
Paul Wanner,Austria,MF,PSV Eindhoven,900909,
Michael Svoboda,Austria,DF,Venezia,438961,
Alessandro Schöpf,Austria,MF,Wolfsberger AC,118397,
Yazeed Abulaila,Jordan,GK,Al-Hussein,261850,
Mohammad Abu Hashish,Jordan,DF,Al-Karma,895249,
Abdallah Nasib,Jordan,DF,Al-Zawraa,882197,
Husam Abu Dahab,Jordan,DF,Al-Faisaly,895291,
Yazan Al-Arab,Jordan,DF,FC Seoul,539961,
Amer Jamous,Jordan,MF,Al-Zawraa,744040,
Noor Al-Rawabdeh,Jordan,MF,Selangor,561485,
Ali Olwan,Jordan,FW,Al-Sailiya,664057,
Mahmoud Al-Mardi,Jordan,FW,Al-Hussein,401086,
Rajaei Ayed,Jordan,MF,Al-Hussein,261842,
Ibrahim Sadeh,Jordan,MF,Al-Karma,709974,
Mo Abualnadi,Jordan,DF,Selangor,658052,
Salim Obaid,Jordan,DF,Al-Hussein,217929,
Mohammad Taha,Jordan,MF,Al-Hussein,1078444,
Mohannad Abu Taha,Jordan,MF,Al-Quwa Al-Jawiya,883111,
Nizar Al-Rashdan,Jordan,MF,Qatar SC,734751,
Abdallah Al-Fakhouri,Jordan,GK,Al-Wehdat,658805,
Ali Azaizeh,Jordan,FW,Al-Shabab,1059056,
Mohammad Al-Dawoud,Jordan,MF,Al-Wehdat,310801,
Anas Badawi,Jordan,DF,Al-Faisaly,1378902,
David Ospina,Colombia,GK,Atlético Nacional,73396,
Jhon Lucumí,Colombia,DF,Bologna,413565,
Santiago Arias,Colombia,DF,Independiente,1519634,
Kevin Castaño,Colombia,MF,River Plate,857948,
Richard Ríos,Colombia,MF,Benfica,842997,
Jorge Carrascal,Colombia,MF,Flamengo,354145,
James Rodríguez,Colombia,MF,Minnesota United FC,88103,
Jhon Arias,Colombia,MF,Palmeiras,588989,
Camilo Vargas,Colombia,GK,Atlas,908301,
Yerry Mina,Colombia,DF,Cagliari,289446,
Gustavo Puerta,Colombia,DF,Racing Santander,936981,
Juan Portilla,Colombia,MF,Athletico Paranaense,94864,
Jefferson Lerma,Colombia,MF,Crystal Palace,262980,
Johan Mojica,Colombia,DF,Mallorca,262939,
Willer Ditta,Colombia,DF,Cruz Azul,609255,
Cucho Hernández,Colombia,FW,Real Betis,459463,
Juan Fernando Quintero,Colombia,MF,River Plate,122582,
Jaminton Campaz,Colombia,FW,Rosario Central,491553,
Deiver Machado,Colombia,DF,Nantes,332560,
Davinson Sánchez,Colombia,DF,Galatasaray,341429,
Álvaro Montero,Colombia,GK,Vélez Sarsfield,221990,
Luis Suárez,Colombia,FW,Sporting CP,1281671,
Andrés Gómez,Colombia,FW,Vasco da Gama,957461,
Lionel Mpasi,DR Congo,GK,Le Havre,164915,
Aaron Wan-Bissaka,DR Congo,DF,West Ham United,477758,
Steve Kapuadi,DR Congo,DF,Widzew Łódź,679709,
Axel Tuanzebe,DR Congo,DF,Burnley,342046,
Dylan Batubinsika,DR Congo,DF,AEL,289432,
Ngal'ayel Mukau,DR Congo,MF,Lille,1016015,
Nathanaël Mbuku,DR Congo,MF,Montpellier,557614,
Samuel Moutoussamy,DR Congo,MF,Atromitos,353403,
Brian Cipenga,DR Congo,FW,Castellón,700565,
Théo Bongonda,DR Congo,MF,Spartak Moscow,280701,
Gaël Kakuta,DR Congo,FW,AEL,74297,
Joris Kayembe,DR Congo,DF,Genk,129586,
Meschak Elia,DR Congo,FW,Alanyaspor,423678,
Noah Sadiki,DR Congo,MF,Sunderland,727089,
Aaron Tshibola,DR Congo,MF,Kilmarnock,243633,
Timothy Fayulu,DR Congo,GK,Noah,541420,
Cédric Bakambu,DR Congo,FW,Real Betis,127048,
Charles Pickel,DR Congo,MF,Espanyol,243879,
Fiston Mayele,DR Congo,FW,Pyramids,727157,
Yoane Wissa,DR Congo,FW,Newcastle United,388165,
Matthieu Epolo,DR Congo,GK,Standard Liège,680218,
Chancel Mbemba,DR Congo,DF,Lille,203348,
Simon Banza,DR Congo,FW,Al Jazira,344869,
Gédéon Kalulu,DR Congo,DF,Aris Limassol,395685,
Edo Kayembe,DR Congo,MF,Watford,486477,
Arthur Masuaku,DR Congo,DF,Lens,181380,
Nélson Semedo,Portugal,DF,Fenerbahçe,231572,
Rúben Dias,Portugal,DF,Manchester City,258004,
Tomás Araújo,Portugal,DF,Benfica,504087,
Diogo Dalot,Portugal,DF,Manchester United,357147,
Matheus Nunes,Portugal,MF,Manchester City,1355797,
Bruno Fernandes,Portugal,MF,Manchester United,1404134,
Gonçalo Ramos,Portugal,FW,Paris Saint-Germain,550550,
João Félix,Portugal,FW,Al-Nassr,1045937,
José Sá,Portugal,GK,Wolverhampton Wanderers,249994,
Renato Veiga,Portugal,DF,Villarreal,805714,
Gonçalo Inácio,Portugal,DF,Sporting CP,549006,
João Neves,Portugal,MF,Paris Saint-Germain,1540045,
Francisco Trincão,Portugal,FW,Sporting CP,412669,
Gonçalo Guedes,Portugal,FW,Real Sociedad,225122,
João Cancelo,Portugal,DF,Barcelona,182712,
Vitinha,Portugal,MF,Paris Saint-Germain,1315345,
